[235, 8105, 397, 42.5, 36, 25755, 383, 42.5, 92, 36776, 194, 42.5, 221, 85, 353, 45.0, 44, 85, 47, 40.0, 26, 25107, 170, 47.5, 11, 40802, 250, 37.5, 5, 22947, 316, 42.5, 38, 23570, 377, 42.5, 81, 13313, 268, 42.5, 1, 5719667588]
[22, 45424, 462, 48.75, 45, 45953, 801, 40.0, 421, 29252, 378, 48.75, 51, 19370, 172, 48.75, 81, 84147, 411, 52.5, 1, 56653, 483, 52.5, 59, 185, 209, 50.0, 201, 13876, 315, 48.75, 119, 51177, 430, 48.75, 10, 5160, 190, 48.75, 0, 5815984603]
[429, 55003, 514, 47.5, 147, 11600, 346, 50.0, 266, 2542, 320, 50.0, 245, 138147, 393, 50.0, 516, 12952, 476, 50.0, 3, 15734, 232, 50.0, 45, 20239, 416, 50.0, 23, 24050, 363, 50.0, 498, 16316, 393, 45.0, 497, 55279, 622, 57.5, 0, 5810556457]
[75, 46984, 308, 43.75, 432, 16592, 373, 43.75, 76, 24585, 297, 43.75, 498, 9023, 297, 43.75, 44, 2340, 452, 37.5, 105, 9391, 224, 43.75, 20, 8676, 243, 43.75, 236, 70291, 329, 40.0, 201, 158610, 318, 47.5, 497, 725, 211, 50.0, 0, 5834788577]
[81, 56472, 438, 43.5, 57, 11107, 290, 43.5, 61, 219525, 467, 43.5, 7, 21902, 251, 43.5, 201, 3808, 56, 43.5, 236, 25139, 291, 35.0, 59, 11405, 483, 52.5, 54, 52086, 241, 37.5, 107, 13688, 193, 40.0, 32, 5334, 333, 52.5, 0, 5832215448]
[8, 8410, 522, 52.5, 14, 6158, 335, 41.0, 141, 34031, 139, 25.0, 126, 54791, 851, 41.0, 711, 1441, 476, 41.0, 68, 4787, 166, 41.0, 236, 4800, 76, 50.0, 240, 17413, 430, 47.5, 29, 104650, 472, 41.0, 54, 23920, 275, 30.0, 0, 5823391427]
[63, 9264, 322, 35.0, 134, 9863, 197, 50.0, 75, 70261, 413, 50.0, 106, 30022, 422, 35.0, 99, 111992, 146, 39.17, 141, 25025, 344, 37.5, 120, 13379, 473, 39.17, 127, 7811, 377, 27.5, 30, 17086, 293, 39.17, 35, 87538, 260, 39.17, 0, 5834027177]
[127, 17393, 110, 47.5, 238, 254645, 212, 37.5, 50, 49538, 407, 47.5, 267, 427210, 433, 47.5, 21, 139826, 391, 55.0, 119, 182795, 514, 47.5, 68, 8780, 320, 50.0, 526, 4927, 335, 47.5, 555, 31879, 393, 47.5, 429, 16422, 476, 47.5, 0, 5829596138]
[254, 14196, 315, 39.17, 518, 2700, 195, 39.17, 145, 213338, 329, 40.0, 16, 327817, 444, 50.0, 62, 13865, 216, 27.5, 56, 5134, 162, 39.17, 101, 12277, 238, 39.17, 63, 20701, 230, 39.17, 114, 3321, 145, 39.17, 245, 9722, 193, 39.17, 1, 5827196555]
[103, 11725, 99, 48.33, 126, 27222, 446, 48.33, 26, 5419, 94, 48.33, 80, 37243, 261, 48.33, 53, 29136, 375, 55.0, 221, 119, 315, 48.33, 161, 3196, 316, 48.33, 64, 72720, 517, 50.0, 27, 16522, 146, 40.0, 555, 2728, 121, 48.33, 0, 5836798991]
[266, 14544, 274, 50.0, 37, 10145, 533, 50.0, 267, 49133, 283, 50.0, 412, 334937, 478, 50.0, 147, 47962, 496, 50.0, 101, 47323, 202, 50.0, 157, 78180, 389, 50.0, 1, 23252, 345, 50.0, 134, 94, 269, 50.0, 21, 24055, 406, 50.0, 0, 5831287497]
[8, 7282, 76, 40.0, 39, 25322, 413, 40.0, 10, 14554, 399, 42.5, 40, 3228, 239, 40.0, 45, 34692, 419, 40.0, 19, 1710, 56, 37.5, 16, 11839, 206, 40.0, 126, 3374, 116, 40.0, 82, 4659, 230, 40.0, 555, 15354, 455, 40.0, 0, 5806451363]
[34, 46499, 351, 51.25, 11, 47920, 225, 51.25, 22, 4874, 205, 51.25, 267, 9533, 179, 51.25, 131, 4200, 163, 51.25, 103, 62801, 498, 51.25, 43, 60336, 440, 50.0, 127, 31786, 585, 51.25, 3, 1142, 127, 51.25, 150, 51365, 483, 52.5, 0, 5832153355]
[45, 8748, 134, 33.12, 20, 3016, 184, 33.12, 17, 37578, 162, 22.5, 81, 37465, 362, 50.0, 103, 108196, 339, 33.12, 11, 61944, 141, 25.0, 27, 39188, 322, 35.0, 110, 11128, 113, 33.12, 90, 5078, 41, 33.12, 1, 12641, 244, 33.12, 1, 5829421830]
[245, 24218, 329, 40.0, 887, 25591, 364, 43.75, 9, 83540, 475, 43.75, 45, 20613, 380, 43.75, 6, 207438, 419, 43.75, 777, 41694, 549, 50.0, 203, 5976, 277, 37.5, 84, 61307, 169, 47.5, 516, 2519, 39, 43.75, 412, 81916, 155, 43.75, 0, 5836444922]
[102, 4886, 315, 30.0, 238, 344696, 353, 30.0, 10, 20803, 377, 30.0, 498, 31441, 316, 30.0, 84, 9201, 117, 30.0, 29, 111057, 789, 30.0, 81, 292, 37, 30.0, 21, 22659, 372, 30.0, 112, 42961, 557, 30.0, 53, 48505, 373, 30.0, 0, 5826339894]
[145, 30177, 609, 30.0, 39, 12600, 499, 38.33, 27, 14468, 256, 38.33, 35, 1825, 122, 38.33, 236, 17496, 370, 38.33, 412, 5883, 97, 50.0, 111, 26546, 277, 38.33, 555, 34309, 322, 35.0, 432, 858290, 244, 38.33, 11, 17891, 168, 38.33, 0, 5833876243]
[21, 17857, 483, 52.5, 51, 23409, 269, 57.0, 61, 1197, 211, 60.0, 96, 4840, 333, 67.5, 104, 42969, 411, 62.5, 43, 48129, 398, 42.5, 164, 34068, 192, 57.0, 63, 27107, 230, 57.0, 517, 10699, 183, 57.0, 266, 5430, 179, 57.0, 0, 5819674861]
[105, 28797, 327, 52.5, 119, 6034, 205, 44.38, 267, 7853, 423, 44.38, 235, 17846, 473, 47.5, 21, 11215, 143, 27.5, 102, 2102, 346, 44.38, 18, 69068, 320, 50.0, 516, 68782, 335, 44.38, 26, 18419, 393, 44.38, 777, 15243, 476, 44.38, 0, 5809283167]
[126, 7158, 136, 48.33, 37, 22224, 564, 48.33, 145, 115403, 325, 48.33, 711, 513, 198, 48.33, 107, 184308, 306, 47.5, 51, 40675, 205, 48.33, 114, 13347, 198, 48.33, 45, 68109, 483, 52.5, 246, 131470, 526, 45.0, 166, 3999, 459, 48.33, 0, 5826207475]
[45, 92796, 372, 55.0, 43, 608, 37, 35.0, 11, 27813, 158, 52.5, 64, 92948, 329, 40.0, 26, 201168, 475, 44.64, 61, 62784, 348, 47.5, 412, 16930, 442, 44.64, 238, 13706, 251, 44.64, 24, 15144, 168, 42.5, 3, 12535, 240, 40.0, 0, 5836442590]
[876, 5036, 595, 50.0, 517, 31301, 316, 50.83, 24, 37068, 273, 47.5, 28, 19460, 452, 50.83, 429, 8804, 429, 50.83, 102, 39130, 341, 50.83, 37, 20107, 331, 50.83, 14, 8021, 518, 55.0, 161, 13287, 332, 50.83, 777, 3945, 358, 50.83, 0, 5825464063]
[517, 26377, 513, 47.5, 134, 41095, 442, 51.0, 254, 6216, 73, 50.0, 35, 114985, 470, 62.5, 78, 32707, 297, 51.0, 64, 90979, 296, 55.0, 114, 4791, 235, 51.0, 15, 7143, 67, 40.0, 21, 11745, 274, 51.0, 80, 68866, 283, 51.0, 0, 5831891236]
[31, 6809, 184, 20.0, 254, 3096, 216, 45.0, 421, 21909, 846, 40.42, 62, 3762, 324, 55.0, 16, 32601, 207, 35.0, 90, 1174, 250, 37.5, 166, 660, 162, 50.0, 235, 23308, 316, 40.42, 41, 27976, 274, 40.42, 221, 6426, 377, 40.42, 1, 5721573340]
[236, 23644, 447, 40.62, 711, 497, 180, 40.62, 59, 2587, 64, 40.62, 246, 7193, 285, 37.5, 161, 36945, 249, 32.5, 18, 22408, 315, 40.62, 23, 8985, 316, 40.62, 777, 39891, 377, 40.62, 235, 24929, 420, 60.0, 74, 44846, 349, 32.5, 0, 5827978493]
[523, 9490, 289, 48.33, 62, 57092, 344, 48.33, 79, 22228, 439, 48.33, 134, 38134, 328, 48.33, 115, 22002, 259, 47.5, 63, 12742, 514, 47.5, 888, 4177, 346, 48.33, 24, 19712, 320, 50.0, 84, 13611, 393, 48.33, 236, 77737, 476, 48.33, 0, 5810608433]
[57, 9329, 45, 47.5, 74, 3440, 186, 52.5, 221, 7307, 325, 40.0, 25, 68819, 472, 50.0, 10, 9045, 111, 45.0, 16, 166332, 273, 35.0, 518, 8314, 316, 47.5, 121, 26295, 266, 47.5, 64, 66331, 386, 62.5, 68, 35127, 374, 47.5, 0, 5826213854]
